Task_ID,Duration,Start_Time,End_Time,Completion_Time
28,2,0,2,2
14,2,0,2,2
52,2,0,2,2
65,3,0,3,3
42,1,2,3,1
21,3,3,6,3
78,5,2,7,5
82,4,3,7,4
83,9,0,9,9
80,3,6,9,3
87,2,7,9,2
76,8,2,10,8
81,1,9,10,1
92,4,7,11,4
74,3,9,12,3
69,8,9,17,8
2,7,10,17,7
86,8,10,18,8
31,9,11,20,9
77,9,12,21,9
99,5,17,22,5
85,5,18,23,5
61,3,20,23,3
0,7,17,24,7
79,2,22,24,2
89,6,21,27,6
95,3,24,27,3
34,6,23,29,6
15,5,24,29,5
64,7,23,30,7
11,4,29,33,4
32,7,27,34,7
27,4,30,34,4
54,9,27,36,9
57,3,34,37,3
67,9,29,38,9
97,4,34,38,4
50,3,37,40,3
84,2,38,40,2
6,8,33,41,8
45,5,36,41,5
38,1,41,42,1
43,5,38,43,5
58,3,40,43,3
59,1,43,44,1
26,3,42,45,3
36,1,45,46,1
71,8,40,48,8
16,6,43,49,6
17,9,41,50,9
4,6,44,50,6
66,7,46,53,7
30,6,48,54,6
60,5,49,54,5
40,8,50,58,8
91,9,50,59,9
10,5,54,59,5
5,7,53,60,7
19,6,54,60,6
62,2,58,60,2
9,2,59,61,2
49,3,59,62,3
53,3,60,63,3
63,3,60,63,3
98,2,62,64,2
94,1,63,64,1
46,2,63,65,2
7,2,64,66,2
72,7,60,67,7
55,1,67,68,1
25,9,61,70,9
39,5,65,70,5
93,7,64,71,7
29,4,68,72,4
1,2,70,72,2
47,2,71,73,2
24,8,66,74,8
33,4,70,74,4
23,4,72,76,4
44,5,74,79,5
96,3,76,79,3
48,9,72,81,9
75,8,73,81,8
8,2,79,81,2
56,1,81,82,1
68,9,79,88,9
41,7,81,88,7
3,6,82,88,6
13,1,88,89,1
37,1,88,89,1
22,3,89,92,3
73,4,89,93,4
90,8,92,100,8
51,7,93,100,7
20,1,100,101,1
70,2,101,103,2
35,7,103,110,7
12,8,110,118,8
88,6,118,124,6
18,5,124,129,5
