Task_ID,Duration,Start_Time,End_Time,Completion_Time
0,1,0,1,1
6,1,0,1,1
14,1,0,1,1
19,1,0,1,1
22,1,0,1,1
49,1,1,2,1
29,1,1,2,1
23,1,1,2,1
32,1,1,2,1
77,2,1,3,2
57,1,2,3,1
34,1,2,3,1
95,1,2,3,1
79,1,3,4,1
30,3,2,5,3
97,2,3,5,2
50,2,3,5,2
13,2,3,5,2
40,2,4,6,2
85,2,5,7,2
16,2,5,7,2
33,3,5,8,3
15,4,5,9,4
60,3,6,9,3
24,2,7,9,2
69,3,7,10,3
42,3,8,11,3
41,3,9,12,3
64,4,9,13,4
8,4,9,13,4
70,3,10,13,3
47,3,11,14,3
89,3,12,15,3
90,3,13,16,3
74,3,14,17,3
43,5,13,18,5
27,5,13,18,5
92,3,15,18,3
25,4,16,20,4
96,3,17,20,3
4,4,18,22,4
28,6,18,24,6
3,4,20,24,4
2,7,18,25,7
7,5,20,25,5
21,4,22,26,4
38,4,24,28,4
99,6,24,30,6
52,5,25,30,5
62,5,26,31,5
45,4,28,32,4
39,8,25,33,8
87,5,30,35,5
72,5,31,36,5
68,4,32,36,4
11,7,30,37,7
44,8,33,41,8
81,5,36,41,5
59,6,36,42,6
67,8,35,43,8
12,7,37,44,7
26,6,41,47,6
73,6,42,48,6
61,8,41,49,8
82,8,43,51,8
86,7,44,51,7
36,6,47,53,6
88,7,48,55,7
80,8,49,57,8
91,8,51,59,8
78,8,51,59,8
51,6,53,59,6
20,8,55,63,8
83,8,57,65,8
66,6,59,65,6
93,8,59,67,8
75,9,59,68,9
48,8,63,71,8
1,7,65,72,7
58,9,65,74,9
10,9,67,76,9
94,8,71,79,8
17,7,72,79,7
63,9,74,83,9
65,9,76,85,9
53,7,79,86,7
56,9,79,88,9
55,7,86,93,7
98,9,85,94,9
84,9,88,97,9
9,8,93,101,8
35,8,101,109,8
37,8,109,117,8
76,8,117,125,8
5,9,125,134,9
18,9,134,143,9
31,9,143,152,9
46,9,152,161,9
54,9,161,170,9
71,9,170,179,9
