Task_ID,Duration,Start_Time,End_Time,Memory_Usage,Completion_Time
2,1,0,1,93.7,1
15,1,0,1,93.7,1
29,1,0,1,93.7,1
37,1,0,1,93.7,1
53,1,0,1,93.7,1
58,1,0,1,93.7,1
99,1,0,1,93.7,1
103,1,0,1,93.7,1
104,1,0,1,93.7,1
109,1,0,1,93.7,1
111,1,0,1,93.7,1
120,1,0,1,93.7,1
126,1,0,1,93.7,1
142,1,0,1,93.7,1
161,1,0,1,93.7,1
177,1,0,1,93.7,1
193,1,0,1,93.7,1
213,1,0,1,93.7,1
237,1,0,1,93.7,1
249,1,0,1,93.7,1
278,1,0,1,93.7,1
294,1,0,1,93.7,1
312,1,0,1,93.7,1
318,1,0,1,93.7,1
328,1,0,1,93.7,1
334,1,0,1,93.7,1
342,1,0,1,93.7,1
359,1,0,1,93.7,1
370,1,0,1,93.7,1
385,1,0,1,93.7,1
402,1,0,1,93.7,1
421,1,0,1,93.7,1
425,1,0,1,93.7,1
455,1,0,1,93.7,1
473,1,0,1,93.7,1
508,1,0,1,93.7,1
536,1,0,1,93.7,1
560,1,0,1,93.7,1
675,1,0,1,93.7,1
756,1,0,1,93.7,1
761,1,0,1,93.7,1
801,1,0,1,93.7,1
812,1,0,1,93.7,1
938,1,0,1,93.7,1
939,1,0,1,93.7,1
941,1,0,1,93.7,1
967,1,0,1,93.7,1
1086,1,0,1,93.7,1
1281,1,0,1,93.7,1
1870,1,0,1,93.7,1
252,1,1,2,93.7,1
853,1,1,2,93.7,1
535,1,1,2,93.7,1
568,1,1,2,93.7,1
320,1,1,2,93.7,1
140,1,1,2,93.7,1
162,1,1,2,93.7,1
245,1,1,2,93.7,1
119,1,1,2,93.7,1
360,1,1,2,93.7,1
175,1,1,2,93.7,1
3304,1,1,2,93.7,1
423,1,1,2,93.7,1
743,1,1,2,93.7,1
453,1,1,2,93.7,1
414,1,1,2,93.7,1
404,1,1,2,93.7,1
537,1,1,2,93.7,1
736,1,1,2,93.7,1
380,1,1,2,93.7,1
406,1,1,2,93.7,1
470,1,1,2,93.7,1
587,1,1,2,93.7,1
1421,1,1,2,93.7,1
515,1,1,2,93.7,1
716,1,1,2,93.7,1
1095,1,1,2,93.7,1
1136,1,1,2,93.7,1
899,1,1,2,93.7,1
733,1,1,2,93.7,1
445,1,1,2,93.7,1
725,1,1,2,93.7,1
559,1,1,2,93.7,1
862,1,1,2,93.7,1
554,1,1,2,93.7,1
731,1,1,2,93.7,1
840,1,1,2,93.7,1
662,1,1,2,93.7,1
1107,1,1,2,93.7,1
790,1,1,2,93.7,1
1265,1,1,2,93.7,1
1606,1,1,2,93.7,1
1223,1,1,2,93.7,1
1126,1,1,2,93.7,1
1527,1,1,2,93.7,1
1458,1,1,2,93.7,1
1277,1,1,2,93.7,1
1202,1,1,2,93.7,1
1332,1,1,2,93.7,1
2365,1,1,2,93.7,1
409,1,2,3,93.7,1
1077,1,2,3,93.7,1
671,1,2,3,93.7,1
639,1,2,3,93.7,1
476,1,2,3,93.7,1
809,1,2,3,93.7,1
908,1,2,3,93.7,1
788,1,2,3,93.7,1
195,1,2,3,93.7,1
1404,1,2,3,93.7,1
1101,1,2,3,93.7,1
3852,1,2,3,93.7,1
753,1,2,3,93.7,1
1264,1,2,3,93.7,1
740,1,2,3,93.7,1
902,1,2,3,93.7,1
518,1,2,3,93.7,1
1340,1,2,3,93.7,1
949,1,2,3,93.7,1
1726,1,2,3,93.7,1
966,1,2,3,93.7,1
713,1,2,3,93.7,1
591,1,2,3,93.7,1
1696,1,2,3,93.7,1
581,1,2,3,93.7,1
896,1,2,3,93.7,1
1197,1,2,3,93.7,1
1463,1,2,3,93.7,1
2083,1,2,3,93.7,1
1358,1,2,3,93.7,1
530,1,2,3,93.7,1
727,1,2,3,93.7,1
784,1,2,3,93.7,1
916,1,2,3,93.7,1
606,1,2,3,93.7,1
1162,1,2,3,93.7,1
983,1,2,3,93.7,1
1044,1,2,3,93.7,1
1637,1,2,3,93.7,1
1876,1,2,3,93.7,1
1310,1,2,3,93.7,1
1721,1,2,3,93.7,1
2296,1,2,3,93.7,1
1287,1,2,3,93.7,1
1979,1,2,3,93.7,1
2332,1,2,3,93.7,1
1817,1,2,3,93.7,1
1270,1,2,3,93.7,1
1571,1,2,3,93.7,1
2694,1,2,3,93.7,1
694,1,3,4,93.7,1
1980,1,3,4,93.7,1
726,1,3,4,93.7,1
1031,1,3,4,93.7,1
1271,1,3,4,93.7,1
1123,1,3,4,93.7,1
1829,1,3,4,93.7,1
1352,1,3,4,93.7,1
427,1,3,4,93.7,1
1908,1,3,4,93.7,1
1263,1,3,4,93.7,1
4090,1,3,4,93.7,1
815,1,3,4,93.7,1
1734,1,3,4,93.7,1
2041,1,3,4,93.7,1
1062,1,3,4,93.7,1
1203,1,3,4,93.7,1
1341,1,3,4,93.7,1
2536,1,3,4,93.7,1
2032,1,3,4,93.7,1
1238,1,3,4,93.7,1
1294,1,3,4,93.7,1
676,1,3,4,93.7,1
2019,1,3,4,93.7,1
821,1,3,4,93.7,1
1097,1,3,4,93.7,1
2100,1,3,4,93.7,1
1539,1,3,4,93.7,1
2340,1,3,4,93.7,1
1411,1,3,4,93.7,1
873,1,3,4,93.7,1
1745,1,3,4,93.7,1
1279,1,3,4,93.7,1
1755,1,3,4,93.7,1
668,1,3,4,93.7,1
1981,1,3,4,93.7,1
1121,1,3,4,93.7,1
2286,1,3,4,93.7,1
2181,1,3,4,93.7,1
2008,1,3,4,93.7,1
1623,1,3,4,93.7,1
2830,1,3,4,93.7,1
3508,1,3,4,93.7,1
1293,1,3,4,93.7,1
2761,1,3,4,93.7,1
2779,1,3,4,93.7,1
2395,1,3,4,93.7,1
1654,1,3,4,93.7,1
2024,1,3,4,93.7,1
2811,1,3,4,93.7,1
860,1,4,5,93.7,1
2080,1,4,5,93.7,1
973,1,4,5,93.7,1
1360,1,4,5,93.7,1
1473,1,4,5,93.7,1
1268,1,4,5,93.7,1
2030,1,4,5,93.7,1
1643,1,4,5,93.7,1
469,1,4,5,93.7,1
3364,1,4,5,93.7,1
1604,1,4,5,93.7,1
4122,1,4,5,93.7,1
1296,1,4,5,93.7,1
2336,1,4,5,93.7,1
2361,1,4,5,93.7,1
1090,1,4,5,93.7,1
1312,1,4,5,93.7,1
1350,1,4,5,93.7,1
2606,1,4,5,93.7,1
2422,1,4,5,93.7,1
1241,1,4,5,93.7,1
1733,1,4,5,93.7,1
1762,1,4,5,93.7,1
2119,1,4,5,93.7,1
934,1,4,5,93.7,1
1100,1,4,5,93.7,1
2264,1,4,5,93.7,1
1540,1,4,5,93.7,1
3181,1,4,5,93.7,1
1582,1,4,5,93.7,1
878,1,4,5,93.7,1
2126,1,4,5,93.7,1
1684,1,4,5,93.7,1
2099,1,4,5,93.7,1
962,1,4,5,93.7,1
2215,1,4,5,93.7,1
1833,1,4,5,93.7,1
2668,1,4,5,93.7,1
2663,1,4,5,93.7,1
2124,1,4,5,93.7,1
1882,1,4,5,93.7,1
2998,1,4,5,93.7,1
3767,1,4,5,93.7,1
1453,1,4,5,93.7,1
2950,1,4,5,93.7,1
3067,1,4,5,93.7,1
2642,1,4,5,93.7,1
1752,1,4,5,93.7,1
3372,1,4,5,93.7,1
2957,1,4,5,93.7,1
980,1,5,6,93.7,1
2589,1,5,6,93.7,1
1381,1,5,6,93.7,1
1538,1,5,6,93.7,1
2084,1,5,6,93.7,1
1325,1,5,6,93.7,1
2048,1,5,6,93.7,1
1663,1,5,6,93.7,1
843,1,5,6,93.7,1
3653,1,5,6,93.7,1
1685,1,5,6,93.7,1
4386,1,5,6,93.7,1
1423,1,5,6,93.7,1
2359,1,5,6,93.7,1
2370,1,5,6,93.7,1
1537,1,5,6,93.7,1
1592,1,5,6,93.7,1
3973,1,5,6,93.7,1
2731,1,5,6,93.7,1
2699,1,5,6,93.7,1
1565,1,5,6,93.7,1
1850,1,5,6,93.7,1
1898,1,5,6,93.7,1
2391,1,5,6,93.7,1
1039,1,5,6,93.7,1
1233,1,5,6,93.7,1
2477,1,5,6,93.7,1
2197,1,5,6,93.7,1
3236,1,5,6,93.7,1
2013,1,5,6,93.7,1
975,1,5,6,93.7,1
3230,1,5,6,93.7,1
1708,1,5,6,93.7,1
2257,1,5,6,93.7,1
1168,1,5,6,93.7,1
2502,1,5,6,93.7,1
1857,1,5,6,93.7,1
3375,1,5,6,93.7,1
3037,1,5,6,93.7,1
3663,1,5,6,93.7,1
2280,1,5,6,93.7,1
3146,1,5,6,93.7,1
3794,1,5,6,93.7,1
1483,1,5,6,93.7,1
2981,1,5,6,93.7,1
3300,1,5,6,93.7,1
2792,1,5,6,93.7,1
2707,1,5,6,93.7,1
4979,1,5,6,93.7,1
3537,1,5,6,93.7,1
1392,1,6,7,93.7,1
2884,1,6,7,93.7,1
1391,1,6,7,93.7,1
1951,1,6,7,93.7,1
2107,1,6,7,93.7,1
1650,1,6,7,93.7,1
3309,1,6,7,93.7,1
1843,1,6,7,93.7,1
1256,1,6,7,93.7,1
4143,1,6,7,93.7,1
1970,1,6,7,93.7,1
4455,1,6,7,93.7,1
1775,1,6,7,93.7,1
2857,1,6,7,93.7,1
2479,1,6,7,93.7,1
2657,1,6,7,93.7,1
2069,1,6,7,93.7,1
3982,1,6,7,93.7,1
3644,1,6,7,93.7,1
3504,1,6,7,93.7,1
1612,1,6,7,93.7,1
2175,1,6,7,93.7,1
1920,1,6,7,93.7,1
2464,1,6,7,93.7,1
1548,1,6,7,93.7,1
1303,1,6,7,93.7,1
2506,1,6,7,93.7,1
2245,1,6,7,93.7,1
3704,1,6,7,93.7,1
2186,1,6,7,93.7,1
1447,1,6,7,93.7,1
3265,1,6,7,93.7,1
1839,1,6,7,93.7,1
3134,1,6,7,93.7,1
1868,1,6,7,93.7,1
2738,1,6,7,93.7,1
1861,1,6,7,93.7,1
3509,1,6,7,93.7,1
3164,1,6,7,93.7,1
3827,1,6,7,93.7,1
2571,1,6,7,93.7,1
3975,1,6,7,93.7,1
3849,1,6,7,93.7,1
1562,1,6,7,93.7,1
3191,1,6,7,93.7,1
4003,1,6,7,93.7,1
3577,1,6,7,93.7,1
4148,1,6,7,93.7,1
529,2,6,8,93.7,2
118,2,6,8,93.7,2
1522,1,7,8,93.7,1
3237,1,7,8,93.7,1
3000,1,7,8,93.7,1
2893,1,7,8,93.7,1
2337,1,7,8,93.7,1
1994,1,7,8,93.7,1
4125,1,7,8,93.7,1
2511,1,7,8,93.7,1
1910,1,7,8,93.7,1
4871,1,7,8,93.7,1
2058,1,7,8,93.7,1
2490,1,7,8,93.7,1
2888,1,7,8,93.7,1
2719,1,7,8,93.7,1
2880,1,7,8,93.7,1
2088,1,7,8,93.7,1
4451,1,7,8,93.7,1
3897,1,7,8,93.7,1
4194,1,7,8,93.7,1
1780,1,7,8,93.7,1
3280,1,7,8,93.7,1
2046,1,7,8,93.7,1
2497,1,7,8,93.7,1
1766,1,7,8,93.7,1
2832,1,7,8,93.7,1
2585,1,7,8,93.7,1
2450,1,7,8,93.7,1
4047,1,7,8,93.7,1
2670,1,7,8,93.7,1
1468,1,7,8,93.7,1
3488,1,7,8,93.7,1
2342,1,7,8,93.7,1
4203,1,7,8,93.7,1
2355,1,7,8,93.7,1
3400,1,7,8,93.7,1
1889,1,7,8,93.7,1
3695,1,7,8,93.7,1
3496,1,7,8,93.7,1
4457,1,7,8,93.7,1
2639,1,7,8,93.7,1
4009,1,7,8,93.7,1
2291,1,7,8,93.7,1
4794,1,7,8,93.7,1
4845,1,7,8,93.7,1
3593,1,7,8,93.7,1
4945,1,7,8,93.7,1
704,2,7,9,93.7,2
437,2,7,9,93.7,2
1597,1,8,9,93.7,1
3303,1,8,9,93.7,1
3055,1,8,9,93.7,1
3231,1,8,9,93.7,1
3023,1,8,9,93.7,1
2623,1,8,9,93.7,1
4751,1,8,9,93.7,1
3096,1,8,9,93.7,1
2734,1,8,9,93.7,1
2196,1,8,9,93.7,1
2834,1,8,9,93.7,1
2966,1,8,9,93.7,1
2901,1,8,9,93.7,1
3405,1,8,9,93.7,1
2350,1,8,9,93.7,1
4676,1,8,9,93.7,1
4237,1,8,9,93.7,1
4199,1,8,9,93.7,1
1867,1,8,9,93.7,1
3953,1,8,9,93.7,1
2180,1,8,9,93.7,1
2781,1,8,9,93.7,1
1995,1,8,9,93.7,1
3357,1,8,9,93.7,1
2596,1,8,9,93.7,1
2474,1,8,9,93.7,1
4407,1,8,9,93.7,1
2728,1,8,9,93.7,1
1916,1,8,9,93.7,1
3615,1,8,9,93.7,1
2394,1,8,9,93.7,1
3279,1,8,9,93.7,1
3422,1,8,9,93.7,1
2980,1,8,9,93.7,1
3709,1,8,9,93.7,1
3934,1,8,9,93.7,1
4580,1,8,9,93.7,1
2900,1,8,9,93.7,1
2386,1,8,9,93.7,1
3871,1,8,9,93.7,1
542,2,8,10,93.7,2
653,2,8,10,93.7,2
155,2,8,10,93.7,2
70,2,8,10,93.7,2
922,2,8,10,93.7,2
373,2,8,10,93.7,2
1401,2,8,10,93.7,2
38,2,8,10,93.7,2
2065,1,9,10,93.7,1
3588,1,9,10,93.7,1
3091,1,9,10,93.7,1
3873,1,9,10,93.7,1
3991,1,9,10,93.7,1
2692,1,9,10,93.7,1
3287,1,9,10,93.7,1
3463,1,9,10,93.7,1
2384,1,9,10,93.7,1
3201,1,9,10,93.7,1
3155,1,9,10,93.7,1
2926,1,9,10,93.7,1
4854,1,9,10,93.7,1
2813,1,9,10,93.7,1
4780,1,9,10,93.7,1
4832,1,9,10,93.7,1
4328,1,9,10,93.7,1
3084,1,9,10,93.7,1
4544,1,9,10,93.7,1
2599,1,9,10,93.7,1
3352,1,9,10,93.7,1
2150,1,9,10,93.7,1
3883,1,9,10,93.7,1
3147,1,9,10,93.7,1
2569,1,9,10,93.7,1
4463,1,9,10,93.7,1
3137,1,9,10,93.7,1
2768,1,9,10,93.7,1
4033,1,9,10,93.7,1
2498,1,9,10,93.7,1
4498,1,9,10,93.7,1
3477,1,9,10,93.7,1
3359,1,9,10,93.7,1
4348,1,9,10,93.7,1
4669,1,9,10,93.7,1
3259,1,9,10,93.7,1
2543,1,9,10,93.7,1
4839,1,9,10,93.7,1
835,2,9,11,93.7,2
2144,2,9,11,93.7,2
3232,2,9,11,93.7,2
277,2,9,11,93.7,2
2261,1,10,11,93.7,1
4157,1,10,11,93.7,1
3635,1,10,11,93.7,1
3920,1,10,11,93.7,1
4174,1,10,11,93.6,1
4480,1,10,11,93.7,1
3404,1,10,11,93.7,1
3679,1,10,11,93.7,1
2684,1,10,11,93.7,1
3591,1,10,11,93.7,1
3272,1,10,11,93.7,1
2941,1,10,11,93.7,1
4886,1,10,11,93.7,1
3053,1,10,11,93.7,1
4966,1,10,11,93.7,1
3187,1,10,11,93.7,1
4671,1,10,11,93.7,1
3139,1,10,11,93.7,1
3571,1,10,11,93.7,1
2646,1,10,11,93.7,1
4459,1,10,11,93.7,1
4442,1,10,11,93.7,1
2590,1,10,11,93.7,1
3415,1,10,11,93.7,1
4100,1,10,11,93.7,1
2938,1,10,11,93.7,1
4534,1,10,11,93.7,1
3866,1,10,11,93.7,1
3442,1,10,11,93.7,1
4352,1,10,11,93.7,1
3305,1,10,11,93.7,1
3045,1,10,11,93.7,1
832,2,10,12,93.7,2
1408,2,10,12,93.7,2
310,2,10,12,93.7,2
475,2,10,12,93.7,2
993,2,10,12,93.7,2
588,2,10,12,93.7,2
1787,2,10,12,93.7,2
128,2,10,12,93.7,2
191,2,10,12,93.7,2
666,2,10,12,93.7,2
571,2,10,12,93.7,2
176,2,10,12,93.7,2
160,2,10,12,93.7,2
828,2,10,12,93.7,2
3792,1,11,12,93.7,1
4995,1,11,12,93.7,1
3683,1,11,12,93.7,1
3960,1,11,12,93.7,1
4949,1,11,12,93.7,1
3518,1,11,12,93.7,1
3954,1,11,12,93.7,1
3042,1,11,12,93.7,1
3705,1,11,12,93.7,1
3369,1,11,12,93.7,1
3240,1,11,12,93.7,1
3487,1,11,12,93.7,1
4688,1,11,12,93.7,1
4805,1,11,12,93.7,1
3947,1,11,12,93.7,1
2946,1,11,12,93.7,1
4531,1,11,12,93.7,1
2803,1,11,12,93.7,1
3495,1,11,12,93.7,1
4342,1,11,12,93.7,1
3118,1,11,12,93.7,1
4008,1,11,12,93.7,1
3474,1,11,12,93.7,1
4434,1,11,12,93.7,1
3880,1,11,12,93.7,1
3597,1,11,12,93.7,1
886,2,11,13,93.7,2
2851,2,11,13,93.7,2
3600,2,11,13,93.7,2
452,2,11,13,93.7,2
272,2,11,13,93.7,2
30,2,11,13,93.7,2
942,2,11,13,93.7,2
229,2,11,13,93.7,2
520,2,11,13,93.7,2
893,2,11,13,93.7,2
4163,1,12,13,93.7,1
4667,1,12,13,93.7,1
3579,1,12,13,93.7,1
3194,1,12,13,93.7,1
3970,1,12,13,93.7,1
3808,1,12,13,93.7,1
4170,1,12,13,93.7,1
3860,1,12,13,93.7,1
4938,1,12,13,93.7,1
4111,1,12,13,93.7,1
3080,1,12,13,93.7,1
3445,1,12,13,93.7,1
3592,1,12,13,93.7,1
4815,1,12,13,93.7,1
3763,1,12,13,93.7,1
4307,1,12,13,93.7,1
3551,1,12,13,93.7,1
4505,1,12,13,93.7,1
4668,1,12,13,93.7,1
3657,1,12,13,93.7,1
1199,2,12,14,93.7,2
1485,2,12,14,93.7,2
723,2,12,14,93.7,2
1735,2,12,14,93.7,2
1822,2,12,14,93.7,2
658,2,12,14,93.7,2
2289,2,12,14,93.7,2
192,2,12,14,93.7,2
263,2,12,14,93.7,2
1600,2,12,14,93.7,2
892,2,12,14,93.7,2
667,2,12,14,93.7,2
369,2,12,14,93.7,2
864,2,12,14,93.7,2
413,2,12,14,93.7,2
820,2,12,14,93.7,2
507,2,12,14,93.7,2
910,2,12,14,93.7,2
101,2,12,14,93.7,2
143,2,12,14,93.7,2
3672,1,13,14,93.7,1
3729,1,13,14,93.7,1
4158,1,13,14,93.7,1
4266,1,13,14,93.7,1
4536,1,13,14,93.7,1
3875,1,13,14,93.7,1
4619,1,13,14,93.7,1
4372,1,13,14,93.7,1
3722,1,13,14,93.7,1
3599,1,13,14,93.7,1
4320,1,13,14,93.7,1
4921,1,13,14,93.7,1
4129,1,13,14,93.7,1
4562,1,13,14,93.7,1
4872,1,13,14,93.7,1
3717,1,13,14,93.7,1
1319,2,13,15,93.7,2
3243,2,13,15,93.7,2
3619,2,13,15,93.7,2
514,2,13,15,93.7,2
326,2,13,15,93.7,2
122,2,13,15,93.7,2
