Task_ID,Duration,Start_Time,End_Time,Memory_Usage,Completion_Time
5,1,0,1,84.6,1
24,1,0,1,84.6,1
2,2,0,2,84.6,2
4,3,0,3,84.6,3
8,3,0,3,84.6,3
9,4,0,4,84.6,4
38,4,0,4,84.6,4
17,1,3,4,84.6,1
0,5,0,5,84.6,5
40,2,4,6,84.6,2
1,7,0,7,84.6,7
6,7,0,7,84.6,7
49,1,6,7,84.6,1
3,8,0,8,84.6,8
11,8,0,8,84.6,8
30,6,2,8,84.6,6
7,5,3,8,84.6,5
151,4,4,8,84.6,4
14,9,0,9,84.6,9
16,9,0,9,84.6,9
21,9,0,9,84.6,9
12,8,1,9,84.6,8
23,2,7,9,84.6,2
25,1,8,9,84.6,1
13,1,8,9,84.6,1
169,1,8,9,84.6,1
60,9,1,10,84.6,9
10,2,8,10,84.6,2
172,1,9,10,84.6,1
27,4,7,11,84.6,4
42,2,9,11,84.6,2
15,7,5,12,84.6,7
31,3,9,12,84.6,3
64,2,10,12,84.6,2
18,9,4,13,84.6,9
63,6,7,13,84.6,6
32,5,9,14,84.6,5
44,5,9,14,84.6,5
181,4,10,14,84.6,4
50,5,10,15,84.6,5
57,4,11,15,84.6,4
51,1,14,15,84.6,1
41,8,8,16,84.6,8
19,7,9,16,84.6,7
20,7,9,16,84.6,7
185,2,14,16,84.6,2
45,1,16,17,84.6,1
28,9,9,18,84.6,9
22,5,13,18,84.6,5
80,2,16,18,84.6,2
43,8,11,19,84.6,8
33,7,12,19,84.6,7
71,7,12,19,84.6,7
26,8,12,20,84.6,8
36,7,14,21,84.6,7
56,4,17,21,84.6,4
116,3,18,21,84.6,3
105,9,13,22,84.6,9
37,1,21,22,84.6,1
78,8,15,23,84.6,8
66,9,15,24,84.6,9
62,9,15,24,84.6,9
207,8,16,24,84.6,8
93,6,18,24,84.6,6
34,5,19,24,84.6,5
58,2,22,24,84.6,2
52,9,16,25,84.6,9
29,7,18,25,84.6,7
121,4,21,25,84.6,4
46,7,19,26,84.6,7
35,6,20,26,84.6,6
230,2,24,26,84.6,2
54,1,25,26,84.6,1
77,8,19,27,84.6,8
86,6,21,27,84.6,6
85,6,23,29,84.6,6
91,2,27,29,84.6,2
108,8,22,30,84.6,8
128,5,25,30,84.6,5
274,4,26,30,84.6,4
59,7,24,31,84.6,7
55,5,26,31,84.6,5
94,2,29,31,84.6,2
118,1,30,31,84.6,1
131,8,24,32,84.6,8
100,8,24,32,84.6,8
75,1,31,32,84.6,1
90,9,24,33,84.6,9
53,9,24,33,84.6,9
81,8,25,33,84.6,8
47,7,26,33,84.6,7
39,7,26,33,84.6,7
89,4,29,33,84.6,4
127,2,31,33,84.6,2
276,4,30,34,84.6,4
112,1,33,34,84.6,1
98,4,31,35,84.6,4
129,9,27,36,84.6,9
79,5,31,36,84.6,5
149,7,30,37,84.6,7
104,4,33,37,84.6,4
83,4,33,37,84.6,4
124,3,34,37,84.6,3
101,6,32,38,84.6,6
132,2,36,38,84.6,2
135,7,32,39,84.6,7
145,7,32,39,84.6,7
111,2,37,39,84.6,2
107,1,38,39,84.6,1
65,7,33,40,84.6,7
157,3,37,40,84.6,3
48,8,33,41,84.6,8
88,4,37,41,84.6,4
61,9,33,42,84.6,9
171,9,33,42,84.6,9
277,9,34,43,84.6,9
110,9,35,44,84.6,9
92,8,36,44,84.6,8
154,5,39,44,84.6,5
126,5,39,44,84.6,5
158,6,39,45,84.6,6
