Task_ID,Duration,Start_Time,End_Time,Memory_Usage,Completion_Time
305,1,0,1,84.6,1
136,1,0,1,84.6,1
1756,1,0,1,84.6,1
3268,2,0,2,84.6,2
2403,3,0,3,84.6,3
2308,3,1,4,84.6,3
4594,3,1,4,84.6,3
3250,5,0,5,84.6,5
4483,6,0,6,84.6,6
2012,7,0,7,84.6,7
2888,7,0,7,84.6,7
1951,7,0,7,84.6,7
211,5,2,7,84.6,5
506,8,0,8,84.6,8
3790,8,0,8,84.6,8
2081,4,4,8,84.6,4
419,9,0,9,84.6,9
1266,9,0,9,84.6,9
4784,9,0,9,84.6,9
473,4,5,9,84.6,4
2964,1,8,9,84.6,1
3919,9,1,10,84.6,9
1726,4,6,10,84.6,4
382,2,8,10,84.6,2
1994,8,3,11,84.6,8
4456,4,7,11,84.6,4
2962,1,10,11,84.6,1
4041,5,7,12,84.6,5
105,5,7,12,84.6,5
4425,9,4,13,84.6,9
401,4,9,13,84.6,4
593,3,10,13,84.6,3
3922,2,11,13,84.6,2
802,6,8,14,84.6,6
3167,5,9,14,84.6,5
2455,2,12,14,84.6,2
4004,1,13,14,84.6,1
2096,8,7,15,84.6,8
3888,6,9,15,84.6,6
4249,2,13,15,84.6,2
4419,7,9,16,84.6,7
3063,7,10,17,84.6,7
1550,4,13,17,84.6,4
1465,3,14,17,84.6,3
608,9,9,18,84.6,9
1280,4,14,18,84.6,4
947,2,16,18,84.6,2
836,8,11,19,84.6,8
1075,8,11,19,84.6,8
1444,7,12,19,84.6,7
3108,6,13,19,84.6,6
1003,5,14,19,84.6,5
2385,4,15,19,84.6,4
2863,1,18,19,84.6,1
2353,5,15,20,84.6,5
3166,8,14,22,84.6,8
2340,4,18,22,84.6,4
1255,4,18,22,84.6,4
3244,3,19,22,84.6,3
4197,4,19,23,84.6,4
991,9,15,24,84.6,9
2814,7,17,24,84.6,7
2949,5,19,24,84.6,5
1614,5,19,24,84.6,5
2146,8,17,25,84.6,8
4940,8,17,25,84.6,8
2826,6,19,25,84.6,6
897,1,24,25,84.6,1
1055,7,19,26,84.6,7
2853,4,22,26,84.6,4
3937,7,20,27,84.6,7
4322,5,22,27,84.6,5
754,2,25,27,84.6,2
3405,2,25,27,84.6,2
2525,1,26,27,84.6,1
252,9,19,28,84.6,9
3193,6,23,29,84.6,6
521,5,24,29,84.6,5
3452,2,27,29,84.6,2
1143,2,27,29,84.6,2
4370,8,22,30,84.6,8
3866,9,22,31,84.6,9
3629,4,27,31,84.6,4
4606,8,24,32,84.6,8
4163,8,24,32,84.6,8
918,6,26,32,84.6,6
3752,4,28,32,84.6,4
3381,3,29,32,84.6,3
2175,3,29,32,84.6,3
3198,8,25,33,84.6,8
2620,6,27,33,84.6,6
726,2,31,33,84.6,2
3460,9,25,34,84.6,9
2631,2,32,34,84.6,2
1363,2,32,34,84.6,2
4607,6,29,35,84.6,6
2111,9,27,36,84.6,9
2471,7,29,36,84.6,7
950,2,34,36,84.6,2
4083,1,36,37,84.6,1
810,7,31,38,84.6,7
4616,6,32,38,84.6,6
690,9,30,39,84.6,9
2799,7,32,39,84.6,7
1145,3,36,39,84.6,3
2277,2,38,40,84.6,2
706,9,32,41,84.6,9
3493,9,32,41,84.6,9
4401,8,33,41,84.6,8
4053,8,33,41,84.6,8
3564,5,36,41,84.6,5
2550,4,37,41,84.6,4
1628,9,33,42,84.6,9
1933,7,35,42,84.6,7
3032,3,39,42,84.6,3
1739,1,41,42,84.6,1
890,9,34,43,84.6,9
2401,9,34,43,84.6,9
4525,2,41,43,84.6,2
4976,1,42,43,84.6,1
1401,1,42,43,84.6,1
2375,6,38,44,84.6,6
3279,5,39,44,84.6,5
4556,5,39,44,84.6,5
4213,3,41,44,84.6,3
3875,3,41,44,84.6,3
3387,3,42,45,84.6,3
286,2,43,45,84.6,2
550,1,44,45,84.6,1
2231,4,42,46,84.6,4
2838,3,43,46,84.6,3
1113,3,43,46,84.6,3
883,2,44,46,84.6,2
1985,6,41,47,84.6,6
1410,6,41,47,84.6,6
1928,2,46,48,84.6,2
4210,1,47,48,84.6,1
3739,9,40,49,84.6,9
307,6,43,49,84.6,6
3380,3,46,49,84.6,3
1902,5,45,50,84.6,5
3574,8,43,51,84.6,8
3039,6,45,51,84.6,6
4484,8,44,52,84.6,8
2445,6,46,52,84.6,6
618,4,48,52,84.6,4
1634,9,44,53,84.6,9
860,9,44,53,84.6,9
203,8,45,53,84.6,8
3087,7,46,53,84.6,7
638,6,48,54,84.6,6
2731,5,49,54,84.7,5
3237,5,49,54,84.7,5
4775,1,53,54,84.7,1
874,8,47,55,84.7,8
3794,5,50,55,84.7,5
1999,4,51,55,84.7,4
4245,2,53,55,84.6,2
8,4,52,56,84.6,4
531,3,53,56,84.6,3
3269,8,49,57,84.6,8
3860,5,52,57,84.6,5
1299,2,55,57,84.6,2
4706,6,53,59,84.6,6
1502,5,54,59,84.6,5
3724,4,55,59,84.6,4
826,2,57,59,84.6,2
2798,9,51,60,84.6,9
3207,1,59,60,84.6,1
1871,9,52,61,84.6,9
3026,7,54,61,84.6,7
2048,5,56,61,84.6,5
2616,1,60,61,84.6,1
4685,8,54,62,84.6,8
2940,7,55,62,84.6,7
2672,9,54,63,84.6,9
3264,8,55,63,84.6,8
1108,6,57,63,84.6,6
770,2,61,63,84.6,2
3920,7,57,64,84.6,7
1656,3,61,64,84.6,3
212,9,56,65,84.6,9
3798,6,59,65,84.6,6
2481,6,59,65,84.6,6
