Task_ID,Duration,Start_Time,End_Time,Memory_Usage,Completion_Time
1,1,0,1,85.2,1
9,1,0,1,85.2,1
15,1,0,1,85.2,1
19,1,0,1,85.2,1
21,1,0,1,85.2,1
22,1,0,1,85.2,1
44,1,0,1,85.2,1
51,1,0,1,85.2,1
79,1,0,1,85.2,1
119,1,0,1,85.2,1
213,1,0,1,85.2,1
228,1,0,1,85.2,1
303,1,0,1,85.2,1
423,1,0,1,85.2,1
822,1,0,1,85.2,1
140,1,1,2,85.2,1
180,1,1,2,85.2,1
30,1,1,2,85.2,1
167,1,1,2,85.2,1
144,1,1,2,85.2,1
25,1,1,2,85.2,1
304,1,1,2,85.2,1
92,1,1,2,85.2,1
232,1,1,2,85.2,1
389,1,1,2,85.2,1
216,1,1,2,85.2,1
240,1,1,2,85.2,1
620,1,1,2,85.2,1
1134,1,1,2,85.2,1
828,1,1,2,85.2,1
179,1,2,3,85.2,1
187,1,2,3,85.2,1
185,1,2,3,85.2,1
208,1,2,3,85.2,1
174,1,2,3,85.2,1
114,1,2,3,85.2,1
618,1,2,3,85.2,1
219,1,2,3,85.2,1
326,1,2,3,85.2,1
500,1,2,3,85.2,1
273,1,2,3,85.2,1
868,1,2,3,85.2,1
877,1,2,3,85.2,1
1240,1,2,3,85.2,1
849,1,2,3,85.2,1
192,1,3,4,85.2,1
264,1,3,4,85.2,1
270,1,3,4,85.2,1
241,1,3,4,85.2,1
217,1,3,4,85.2,1
132,1,3,4,85.2,1
634,1,3,4,85.2,1
265,1,3,4,85.2,1
444,1,3,4,85.2,1
526,1,3,4,85.2,1
324,1,3,4,85.2,1
904,1,3,4,85.2,1
1109,1,3,4,85.2,1
1925,1,3,4,85.2,1
916,1,3,4,85.2,1
227,1,4,5,85.2,1
356,1,4,5,85.2,1
506,1,4,5,85.2,1
295,1,4,5,85.2,1
275,1,4,5,85.2,1
191,1,4,5,85.2,1
714,1,4,5,85.2,1
311,1,4,5,85.2,1
640,1,4,5,85.2,1
721,1,4,5,85.2,1
398,1,4,5,85.2,1
959,1,4,5,85.2,1
1195,1,4,5,85.2,1
2154,1,4,5,85.2,1
1150,1,4,5,85.2,1
267,1,5,6,85.2,1
554,1,5,6,85.2,1
558,1,5,6,85.2,1
522,1,5,6,85.2,1
358,1,5,6,85.2,1
235,1,5,6,85.2,1
829,1,5,6,85.2,1
352,1,5,6,85.2,1
774,1,5,6,85.2,1
735,1,5,6,85.2,1
460,1,5,6,85.2,1
1070,1,5,6,85.2,1
1224,1,5,6,85.2,1
2358,1,5,6,85.2,1
1396,1,5,6,85.2,1
283,1,6,7,85.2,1
570,1,6,7,85.2,1
716,1,6,7,85.2,1
762,1,6,7,85.2,1
377,1,6,7,85.2,1
315,1,6,7,85.2,1
913,1,6,7,85.2,1
415,1,6,7,85.2,1
785,1,6,7,85.2,1
818,1,6,7,85.2,1
586,1,6,7,85.2,1
1174,1,6,7,85.2,1
1295,1,6,7,85.2,1
2861,1,6,7,85.2,1
1463,1,6,7,85.2,1
690,1,7,8,85.2,1
622,1,7,8,85.2,1
754,1,7,8,85.2,1
944,1,7,8,85.2,1
499,1,7,8,85.2,1
532,1,7,8,85.2,1
1089,1,7,8,85.2,1
504,1,7,8,85.2,1
823,1,7,8,85.2,1
881,1,7,8,85.2,1
638,1,7,8,85.2,1
1202,1,7,8,85.2,1
1305,1,7,8,85.2,1
3020,1,7,8,85.2,1
1734,1,7,8,85.2,1
864,1,8,9,85.2,1
693,1,8,9,85.2,1
1026,1,8,9,85.2,1
1152,1,8,9,85.2,1
926,1,8,9,85.2,1
954,1,8,9,85.2,1
1171,1,8,9,85.2,1
632,1,8,9,85.2,1
1364,1,8,9,85.2,1
888,1,8,9,85.2,1
694,1,8,9,85.2,1
1250,1,8,9,85.2,1
1383,1,8,9,85.2,1
3322,1,8,9,85.2,1
1763,1,8,9,85.2,1
966,1,9,10,85.2,1
951,1,9,10,85.2,1
1124,1,9,10,85.2,1
1289,1,9,10,85.2,1
974,1,9,10,85.2,1
957,1,9,10,85.2,1
1181,1,9,10,85.2,1
786,1,9,10,85.2,1
1528,1,9,10,85.2,1
1015,1,9,10,85.2,1
821,1,9,10,85.2,1
1313,1,9,10,85.2,1
1508,1,9,10,85.2,1
3467,1,9,10,85.2,1
1785,1,9,10,85.2,1
1503,1,10,11,85.2,1
969,1,10,11,85.2,1
1217,1,10,11,85.2,1
1336,1,10,11,85.2,1
1014,1,10,11,85.2,1
1023,1,10,11,85.2,1
1190,1,10,11,85.2,1
846,1,10,11,85.2,1
1545,1,10,11,85.2,1
1019,1,10,11,85.2,1
853,1,10,11,85.2,1
1370,1,10,11,85.2,1
1673,1,10,11,85.2,1
3893,1,10,11,85.2,1
1837,1,10,11,85.2,1
1727,1,11,12,85.2,1
1105,1,11,12,85.2,1
1513,1,11,12,85.2,1
1652,1,11,12,85.2,1
1194,1,11,12,85.2,1
1133,1,11,12,85.2,1
1236,1,11,12,85.2,1
895,1,11,12,85.2,1
1678,1,11,12,85.2,1
1081,1,11,12,85.2,1
1267,1,11,12,85.2,1
1664,1,11,12,85.2,1
2007,1,11,12,85.2,1
3930,1,11,12,85.2,1
1841,1,11,12,85.2,1
2059,1,12,13,85.2,1
1223,1,12,13,85.2,1
1525,1,12,13,85.2,1
1934,1,12,13,85.2,1
1333,1,12,13,85.2,1
1317,1,12,13,85.2,1
1603,1,12,13,85.2,1
1284,1,12,13,85.2,1
1782,1,12,13,85.2,1
1140,1,12,13,85.2,1
1521,1,12,13,85.2,1
1736,1,12,13,85.2,1
2067,1,12,13,85.2,1
4349,1,12,13,85.2,1
1935,1,12,13,85.2,1
2210,1,13,14,85.2,1
1347,1,13,14,85.2,1
1656,1,13,14,85.2,1
2051,1,13,14,85.2,1
1405,1,13,14,85.2,1
1391,1,13,14,85.2,1
1877,1,13,14,85.2,1
1324,1,13,14,85.2,1
1896,1,13,14,85.2,1
1165,1,13,14,85.2,1
1601,1,13,14,85.2,1
2075,1,13,14,85.2,1
2303,1,13,14,85.2,1
4409,1,13,14,85.2,1
1957,1,13,14,85.2,1
2425,1,14,15,85.2,1
1350,1,14,15,85.2,1
1834,1,14,15,85.2,1
2109,1,14,15,85.2,1
1635,1,14,15,85.2,1
1623,1,14,15,85.2,1
2237,1,14,15,85.2,1
1453,1,14,15,85.2,1
1984,1,14,15,85.2,1
1186,1,14,15,85.2,1
1710,1,14,15,85.2,1
2129,1,14,15,85.2,1
2502,1,14,15,85.2,1
4606,1,14,15,85.2,1
2073,1,14,15,85.2,1
2588,1,15,16,85.2,1
1361,1,15,16,85.2,1
1875,1,15,16,85.2,1
2177,1,15,16,85.2,1
1714,1,15,16,85.2,1
1851,1,15,16,85.2,1
2495,1,15,16,85.2,1
1659,1,15,16,85.2,1
2017,1,15,16,85.2,1
1341,1,15,16,85.2,1
1729,1,15,16,85.2,1
2158,1,15,16,85.2,1
2725,1,15,16,85.2,1
4648,1,15,16,85.2,1
2074,1,15,16,85.2,1
2621,1,16,17,85.2,1
1365,1,16,17,85.2,1
1882,1,16,17,85.2,1
2189,1,16,17,85.2,1
1836,1,16,17,85.2,1
2131,1,16,17,85.2,1
2523,1,16,17,85.2,1
1691,1,16,17,85.2,1
2043,1,16,17,85.2,1
1422,1,16,17,85.2,1
1794,1,16,17,85.2,1
2297,1,16,17,85.2,1
2776,1,16,17,85.2,1
4812,1,16,17,85.2,1
2238,1,16,17,85.2,1
2869,1,17,18,85.2,1
1744,1,17,18,85.2,1
1901,1,17,18,85.2,1
2276,1,17,18,85.2,1
1942,1,17,18,85.2,1
2175,1,17,18,85.2,1
2552,1,17,18,85.2,1
2077,1,17,18,85.2,1
2062,1,17,18,85.2,1
1557,1,17,18,85.2,1
1889,1,17,18,85.2,1
2529,1,17,18,85.2,1
3285,1,17,18,85.2,1
4843,1,17,18,85.2,1
2281,1,17,18,85.2,1
3057,1,18,19,85.2,1
1747,1,18,19,85.2,1
1996,1,18,19,85.2,1
2454,1,18,19,85.2,1
2254,1,18,19,85.2,1
2378,1,18,19,85.2,1
