Task_ID,Duration,Start_Time,End_Time,Completion_Time
45,2,0,2,2
95,2,0,2,2
27,2,0,2,2
30,3,2,5,3
16,4,2,6,4
66,7,0,7,7
2,8,0,8,8
39,8,2,10,8
25,5,5,10,5
89,4,6,10,4
31,2,10,12,2
70,2,12,14,2
60,8,7,15,8
76,7,8,15,7
12,5,10,15,5
84,2,14,16,2
26,7,10,17,7
92,3,15,18,3
14,3,15,18,3
73,4,15,19,4
18,4,17,21,4
75,6,16,22,6
61,3,19,22,3
37,1,21,22,1
74,1,22,23,1
36,6,18,24,6
53,8,18,26,8
17,3,24,27,3
65,6,22,28,6
43,6,22,28,6
46,1,28,29,1
35,9,23,32,9
98,1,32,33,1
23,8,26,34,8
63,7,27,34,7
87,6,28,34,6
96,1,34,35,1
49,3,33,36,3
38,9,29,38,9
94,2,36,38,2
69,1,38,39,1
24,6,34,40,6
29,2,38,40,2
90,1,39,40,1
72,8,34,42,8
42,8,35,43,8
85,3,40,43,3
10,7,40,47,7
7,4,43,47,4
81,8,40,48,8
91,6,43,49,6
11,3,47,50,3
13,9,42,51,9
34,3,48,51,3
78,2,51,53,2
58,8,47,55,8
77,6,49,55,6
54,2,53,55,2
22,6,50,56,6
5,1,55,56,1
0,6,51,57,6
19,3,55,58,3
3,3,56,59,3
55,2,57,59,2
9,7,55,62,7
1,5,58,63,5
48,4,59,63,4
68,9,56,65,9
50,6,63,69,6
8,4,65,69,4
40,8,62,70,8
15,9,63,72,9
93,3,69,72,3
67,2,70,72,2
88,2,72,74,2
32,4,72,76,4
21,4,72,76,4
99,4,76,80,4
4,9,74,83,9
56,8,76,84,8
33,3,83,86,3
52,2,84,86,2
97,7,80,87,7
82,1,86,87,1
59,2,87,89,2
64,2,89,91,2
79,6,86,92,6
57,5,87,92,5
80,1,91,92,1
20,2,92,94,2
62,3,92,95,3
71,9,92,101,9
47,6,95,101,6
44,8,94,102,8
83,3,101,104,3
28,2,102,104,2
6,5,101,106,5
51,5,106,111,5
41,9,104,113,9
86,4,111,115,4
